ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
1,NBI,'3.2 KM N.E. OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.25278802,-124.1779995,18.4,1,0,
2,NBI,'3 KM NE OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.24966733,-124.1739913,18.8,1,0,
3,NBI,'15 KM N.E. OF MOCLIPS',4,Tee Beam,47.2947274,-124.0662513,82.7,0,0,
4,NBI,'23 KM NE OF MOCLIPS',4,Tee Beam,47.33808868,-124.0327233,50.2,0,0,
5,NBI,'26 KM NE OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.34758478,-124.0076479,52.7,0,0,
6,NBI,'4 KM N.E. OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.25271696,-124.174375,18.4,1,0,
7,NBI,'25.7 KM NE COPALIS X-ING',4,Tee Beam,47.35775097,-123.9907348,50.4,0,0,
8,NBI,'4 KM S OF AMANDA PARK JCT',5,Box Beam or Girders - Multiple,47.42813284,-123.9142697,58.3,0,0,
9,NBI,'16 KM NORTH OF MOCLIPS',2,Stringer/Multi-beam or Girder,47.35097897,-124.1547319,38.7,0,0,
10,NBI,'15 KM N.E. OF MOCLIPS',19,Culvert (inlcudes frame culverts),47.30196523,-124.0613196,90.2,0,1,
11,NBI,'0.1 E JCT US 101',17,Moveable - Swing,46.97603626,-123.8116117,1,1,0,
12,NBI,'1.7 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.44984328,-123.8725131,9.4,1,0,
13,NBI,'3.6 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.47534244,-123.8851066,6.2,1,0,
14,NBI,'19.1 N JCT SR 115',1,Slab,47.28463392,-124.2339548,3.6,1,0,
15,NBI,'Milepost 19.9 on US-101',2,Stringer/Multi-beam or Girder,46.36574847,-123.9512401,2.3,1,0,
16,NBI,'21.8 E JCT US 101',4,Tee Beam,46.54999193,-123.4129959,225.7,0,0,
17,NBI,'1.3KM WEST OF JCT 8049',2,Stringer/Multi-beam or Girder,46.8155171,-123.1771444,25.4,1,0,
18,NBI,'2.7KM W LUCKY EAGLE CASIN',6,Box Beam or Girders - Single or Spread,46.81590213,-123.1895947,25.4,1,0,
19,NBI,'3.3KM W LUCKY EAGL CASINO',19,Culvert (inlcudes frame culverts),46.81933042,-123.1952049,25.6,1,1,
20,NBI,'AT FISH HATCHERY',2,Stringer/Multi-beam or Girder,46.81933094,-123.2002293,26.1,1,0,
21,NBI,'4KM W LUCKY EAGLE CASINO',2,Stringer/Multi-beam or Girder,46.82159819,-123.2083266,24.4,1,0,
22,NBI,'.9 KM N  CUITAN STREET',6,Box Beam or Girders - Single or Spread,47.34791607,-124.2847484,1.2,1,0,
23,NBI,'11KM NE OF MO CLIPS',3,Girder and Floorbeam System,47.32097679,-124.1567372,72.3,0,0,
24,NBI,'3 KM S OF AMANDA PK JUNCT',2,Stringer/Multi-beam or Girder,47.43639123,-123.8963798,75.4,0,0,
25,NBI,'6.6 N JCT SR 401',19,Culvert (inlcudes frame culverts),46.30394535,-123.9669536,2.4,1,1,
26,NBI,'3.3 N JCT US 12',16,Movable - Bascule,46.97537428,-123.8771381,0.7,1,0,
27,NBI,'23.2 E JCT US 101',4,Tee Beam,46.54661064,-123.3861683,209.5,0,0,
28,NBI,'4.3 N JCT SR 105',4,Tee Beam,46.75011888,-123.7504803,41.2,0,0,
29,NBI,'5.7 N JCT SR 105',4,Tee Beam,46.76882896,-123.7486211,45.2,0,0,
30,NBI,'10.5 E JCT SR 8',4,Tee Beam,46.87961209,-123.2716575,21,1,0,
31,NBI,'13.0 E JCT SR 8',4,Tee Beam,46.84800144,-123.2486588,23.7,1,0,
32,NBI,'16.3 E JCT SR 8',10,Truss - Thru,46.83016717,-123.1858193,24.7,1,0,
33,NBI,'1.1 E JCT US 101',4,Tee Beam,46.97831724,-123.7910915,15.7,1,0,
34,NBI,'7.0 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.37235174,-123.9500719,1.4,1,0,
35,NBI,'12.2 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.42841062,-123.9178256,0.9,1,0,
36,NBI,'8.3 E JCT US 101',10,Truss - Thru,46.97658332,-123.6433104,4,1,0,
37,NBI,'32.9 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.37658839,-123.8991639,110.5,0,0,
38,NBI,'36.5 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.42587031,-123.87646,111.1,0,0,
39,NBI,'0.1 E JCT SR 8',4,Tee Beam,47.00506899,-123.386437,19.9,1,0,
40,NBI,'4.5 E JCT SR 8',4,Tee Beam,46.95653282,-123.3271759,13.4,1,0,
41,NBI,'6.1 E JCT SR 8',4,Tee Beam,46.93766356,-123.3106143,13.4,1,0,
42,NBI,'8.6 E JCT SR 8',4,Tee Beam,46.90291027,-123.2912698,21.5,1,0,
43,NBI,'0.2 W JCT US 12',16,Movable - Bascule,46.97713318,-123.8118148,0.7,1,0,
44,NBI,'11.3 E JCT US 101',11,Arch - Deck,46.55572109,-123.6113979,38.4,0,0,
45,NBI,'12.2 E JCT US 101',11,Arch - Deck,46.55829574,-123.5967769,44.2,0,0,
46,NBI,'14.6 E JCT US 101',11,Arch - Deck,46.55978501,-123.5507186,55.4,0,0,
47,NBI,'5.5 N JCT SR 4',1,Slab,46.50097074,-123.8865406,3.2,1,0,
48,NBI,'6.7 N JCT SR 4',1,Slab,46.51838537,-123.8858102,3,1,0,
49,NBI,'13.6 N JCT SR 105 SP',1,Slab,46.94009807,-123.8773915,2.1,1,0,
50,NBI,'12.1 N JCT SR 105 SP',1,Slab,46.9335901,-123.9080634,2.4,1,0,
51,NBI,'12.6 N JCT SR 105 SP',1,Slab,46.93585035,-123.8973439,2.5,1,0,
52,NBI,'13.1 N JCT SR 105 SP',1,Slab,46.93791279,-123.8877011,3.6,1,0,
53,NBI,'15.1 N JCT SR 109',4,Tee Beam,47.16862542,-123.8845075,41.6,0,0,
54,NBI,'2.5 E JCT US 101',1,Slab,46.66278484,-123.6898682,15.4,1,0,
55,NBI,'46.3 N JCT SR 109',4,Tee Beam,47.47368673,-124.0224905,128.6,0,0,
56,NBI,'4.4 N JCT SR 107',1,Slab,46.95997143,-123.7760902,2.6,1,0,
57,NBI,'9.2 N JCT SR 109',4,Tee Beam,47.09208408,-123.9046509,29.9,1,0,
58,NBI,'21.3 N JCT SR 109',4,Tee Beam,47.22752564,-123.9645567,34.5,0,0,
59,NBI,'21.5 N JCT SR 109',10,Truss - Thru,47.22958937,-123.9621772,33.5,0,0,
60,NBI,'19.9 E JCT US 101',4,Tee Beam,46.54801162,-123.4508524,140,0,0,
61,NBI,'10.8 N JCT US 101',1,Slab,47.05656458,-124.0498106,1.8,1,0,
62,NBI,'5.3 N JCT SR 115',2,Stringer/Multi-beam or Girder,47.11667047,-124.169527,2.2,1,0,
63,NBI,'7.0 N JCT SR 105 SP',2,Stringer/Multi-beam or Girder,46.8999378,-123.9992472,0.2,1,0,
64,NBI,'11.4 N JCT US 101',4,Tee Beam,46.36690584,-123.8104225,3.1,1,0,
65,NBI,'13.1 N JCT SR 115',22,Channel Beam ,47.20647428,-124.1978279,2.1,1,0,
66,NBI,'7.6 N JCT US 101',2,Stringer/Multi-beam or Girder,46.9705653,-123.6012315,7.2,1,0,
67,NBI,'7.8 N JCT US 101',2,Stringer/Multi-beam or Girder,46.97329643,-123.6009688,7.2,1,0,
68,NBI,'0.2 N JCT SR 105',16,Movable - Bascule,46.97208434,-123.8085838,0.6,1,0,
69,NBI,'9.4 E JCT US 101',5,Box Beam or Girders - Multiple,46.58174778,-123.6186493,27.5,1,0,
70,NBI,'9.5 N JCT SR 105 SP',2,Stringer/Multi-beam or Girder,46.91768933,-123.9581734,2.8,1,0,
71,NBI,'14.9 N JCT SR 105 SP',1,Slab,46.94344168,-123.8529593,2,1,0,
72,NBI,'41.7 N JCT SR 109',4,Tee Beam,47.47702061,-123.9296535,121.7,0,0,
73,NBI,'1.9 N JCT SR 105 SP',5,Box Beam or Girders - Multiple,46.86248717,-124.0684585,0.9,1,0,
74,NBI,'10.1 N JCT US 101',1,Slab,47.04808995,-124.0401808,4.4,1,0,
75,NBI,'10.3 N JCT US 101',10,Truss - Thru,47.05115587,-124.0428318,0.6,1,0,
76,NBI,'0.8 N JCT SR 115',1,Slab,47.05597543,-124.1633715,4.2,1,0,
77,NBI,'15.4 N JCT SR 115',1,Slab,47.23774585,-124.2141111,3.5,1,0,
78,NBI,'0.6 N PACIFIC CO',4,Tee Beam,46.79879697,-123.746126,54.8,0,0,
79,NBI,'5.2 N JCT SR 103',1,Slab,46.34865433,-123.9576819,1.8,1,0,
80,NBI,'6.5 N JCT US 101',1,Slab,47.00418404,-124.0017778,1,1,0,
81,NBI,'8.7 N JCT US 101',1,Slab,47.0311514,-124.0254589,1.2,1,0,
82,NBI,'43.2 N JCT SR 109',1,Slab,47.48024309,-123.9593191,136.7,0,0,
83,NBI,'10.0 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.10397991,-123.9062746,42.5,0,0,
84,NBI,'14.0 E JCT US 101',4,Tee Beam,46.56096929,-123.5602962,52.3,0,0,
85,NBI,'4.4 N JCT SR 109',1,Slab,47.03100878,-123.9220431,3.5,1,0,
86,NBI,'45.1 N JCT SR 109',1,Slab,47.47708371,-123.9972629,152.2,0,0,
87,NBI,'52.2 N JCT SR 109',1,Slab,47.50063135,-124.1382251,133,0,0,
88,NBI,'1.4 N JCT SR 109',1,Slab,46.99428045,-123.8950823,1.7,1,0,
89,NBI,'6.8 N JCT US 101',10,Truss - Thru,46.96216176,-123.6036611,0.8,1,0,
90,NBI,'6.9 N JCT US 101',1,Slab,46.30863399,-123.8009938,28,1,0,
91,NBI,'9.6 N JCT US 101',1,Slab,46.34233055,-123.8138458,11.8,1,0,
92,NBI,'7.6 N JCT US 101',19,Culvert (inlcudes frame culverts),46.72640761,-123.852432,6.2,1,1,
93,NBI,'3.8 E JCT SR 108',1,Slab,47.05350997,-123.208955,102.1,0,0,
94,NBI,'39.1 N JCT SR 109',5,Box Beam or Girders - Multiple,47.45808021,-123.889677,57.2,0,0,
95,NBI,'1.1 E JCT US 12',2,Stringer/Multi-beam or Girder,47.01211884,-123.3666146,21.1,1,0,
96,NBI,'1.1 E JCT US 12',2,Stringer/Multi-beam or Girder,47.01239911,-123.3663726,21.1,1,0,
97,NBI,'4.1 E JCT US 12',1,Slab,47.04117898,-123.3212554,43.4,0,0,
98,NBI,'4.1 E JCT US 12',1,Slab,47.0413323,-123.3213954,44.1,0,0,
99,NBI,'16.8 E JCT US 101',1,Slab,46.54333719,-123.5117131,65.2,0,0,
100,NBI,'JCT SR 8',2,Stringer/Multi-beam or Girder,47.00510192,-123.3877411,20.8,1,0,
101,NBI,'JCT SR 8',2,Stringer/Multi-beam or Girder,47.00527254,-123.387886,21,1,0,
102,NBI,'10.0 E JCT SR 107',2,Stringer/Multi-beam or Girder,47.00289231,-123.3951783,16.8,1,0,
103,NBI,'10.0 E JCT SR 107',2,Stringer/Multi-beam or Girder,47.00308054,-123.3952562,16,1,0,
104,NBI,'11.6 N JCT US 101',1,Slab,46.36952939,-123.8079051,4.1,1,0,
105,NBI,'12.0 N JCT US 101',1,Slab,46.37363472,-123.8035398,4,1,0,
106,NBI,'25.4 N JCT SR 4',1,Slab,46.66394749,-123.8052667,4.9,1,0,
107,NBI,'4.8 E JCT SR 107',1,Slab,46.9974334,-123.5022783,12.8,1,0,
108,NBI,'4.8 E JCT SR 107',1,Slab,46.9977496,-123.5019083,12.3,1,0,
109,NBI,'5.0 E JCT SR 107',1,Slab,46.9986709,-123.4978488,13.2,1,0,
110,NBI,'5.0 E JCT SR 107',1,Slab,46.99884454,-123.497935,13.2,1,0,
111,NBI,'5.1 E JCT SR 107',1,Slab,46.99910639,-123.4959551,13.4,1,0,
112,NBI,'5.1 E JCT SR 107',1,Slab,46.9992969,-123.4959801,13.3,1,0,
113,NBI,'5.2 E JCT SR 107',12,Arch - Thru,46.99955141,-123.4933812,10,1,0,
114,NBI,'5.2 E JCT SR 107',12,Arch - Thru,46.99973085,-123.4934688,10.2,1,0,
115,NBI,'OREGON LINE',2,Stringer/Multi-beam or Girder,46.24071962,-123.8747693,1.3,1,0,
116,NBI,'3.65 S OREGON LINE',10,Truss - Thru,46.23601549,-123.8725462,0.4,1,0,
117,NBI,'3.37 S OREGON LINE',2,Stringer/Multi-beam or Girder,46.23166939,-123.8702234,0.4,1,0,
118,NBI,'0.96 S OREGON LINE',10,Truss - Thru,46.19323564,-123.8503976,1.7,1,0,
119,NBI,'6.3 E JCT SR 107',1,Slab,46.99890421,-123.4711024,7.3,1,0,
120,NBI,'6.3 E JCT SR 107',1,Slab,46.99910532,-123.4710899,7.5,1,0,
121,NBI,'29.4 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.6816293,-123.7324847,-0.2,1,0,
122,NBI,'9.7 E JCT US 101',2,Stringer/Multi-beam or Girder,46.97357103,-123.6145292,4.5,1,0,
123,NBI,'9.7 E JCT US 101',2,Stringer/Multi-beam or Girder,46.973725,-123.6143794,4.7,1,0,
124,NBI,'10.3 E JCT US 101',2,Stringer/Multi-beam or Girder,46.97534074,-123.6012236,7.2,1,0,
125,NBI,'10.3 E JCT US 101',2,Stringer/Multi-beam or Girder,46.97553748,-123.6012889,7.2,1,0,
126,NBI,'3.3 N JCT US 12',15,Movable - Lift,46.9794762,-123.8842444,0.7,1,0,
127,NBI,'9.6 E JCT SR 107',2,Stringer/Multi-beam or Girder,47.00080325,-123.4031843,12.8,1,0,
128,NBI,'20.9 N JCT SR 4',1,Slab,46.68843522,-123.8685562,2.4,1,0,
129,NBI,'21.4 N JCT SR 4',1,Slab,46.69312717,-123.8593712,2.5,1,0,
130,NBI,'23.6 N JCT SR 4',1,Slab,46.68334439,-123.8277123,1.9,1,0,
131,NBI,'8.7 N JCT SR 401',4,Tee Beam,46.32032873,-124.0014899,2.1,1,0,
132,NBI,'1.9 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.33099521,-124.0143186,2.8,1,0,
133,NBI,'2.6 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.33080868,-123.9999101,2.3,1,0,
134,NBI,'26.9 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.67119199,-123.777113,3.1,1,0,
135,NBI,'15.6 N JCT SR 105 SP',1,Slab,46.9474113,-123.8383105,2.7,1,0,
136,NBI,'12.9 N JCT SR 103',2,Stringer/Multi-beam or Girder,46.43149407,-123.9033011,2.8,1,0,
137,NBI,'0.2 N JCT SR 105',3,Girder and Floorbeam System,46.9740434,-123.8121148,3.7,1,0,
138,NBI,'0.2 N JCT SR 105',5,Box Beam or Girders - Multiple,46.97346133,-123.8129958,3.7,1,0,
139,NBI,'6.0 N JCT SR 109',1,Slab,47.05072469,-123.9252643,2.9,1,0,
140,NBI,'0.4 N JCT SR 109',2,Stringer/Multi-beam or Girder,46.98939104,-123.9214563,1,1,0,
141,NBI,'11.6 N JCT SR 109',1,Slab,47.12319739,-123.8941083,62.8,0,0,
142,NBI,'24.7 N JCT SR 109',1,Slab,47.26294859,-123.9205661,71.6,0,0,
143,NBI,'7.3 N PACIFIC CO',2,Stringer/Multi-beam or Girder,46.88382303,-123.7113085,24.6,1,0,
144,NBI,'17.4 E JCT SR 8',1,Slab,46.82729765,-123.1627318,30,0,0,
145,NBI,'1.3 E JCT SR 401',2,Stringer/Multi-beam or Girder,46.3678657,-123.780292,5.5,1,0,
146,NBI,'2.4 E JCT SR 401',2,Stringer/Multi-beam or Girder,46.3592219,-123.7628837,15.7,1,0,
147,NBI,'7.0 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.06850011,-123.929875,8.7,1,0,
148,NBI,'13.6 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.61408968,-123.9142042,2.3,1,0,
149,NBI,'14.8 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.62987829,-123.9226141,2.6,1,0,
150,NBI,'9.5 E JCT US 101',2,Stringer/Multi-beam or Girder,46.97554544,-123.6214727,13.9,1,0,
151,NBI,'0.7 N JCT SR 6',2,Stringer/Multi-beam or Girder,46.69164616,-123.7332173,-0.3,1,0,
152,NBI,'6.3 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.513232,-123.8858993,2.6,1,0,
153,NBI,'1.3 E JCT SR 108',2,Stringer/Multi-beam or Girder,47.04514622,-123.2631553,93.2,0,0,
154,NBI,'0.1 N S RAZOR CLAM',1,Slab,46.9634315,-124.152387,3.9,1,0,
155,NBI,'36.2 N JCT SR 109',2,Stringer/Multi-beam or Girder,47.42176455,-123.8762469,114.1,0,0,
156,NBI,'10.6 N JCT SR 109',5,Box Beam or Girders - Multiple,47.1097444,-123.896996,49,0,0,
157,NBI,'12.0 N JCT SR 109',1,Slab,47.1280783,-123.8945022,66.6,0,0,
158,NBI,'16.5 N JCT US 101',2,Stringer/Multi-beam or Girder,47.16293527,-123.8791973,51.3,0,0,
159,NBI,'14.5 N JCT SR 109',7,Frame (Except for Culverts),46.73705385,-123.9825828,2.4,1,0,
160,NBI,'16.3 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.64954848,-123.9186986,2.6,1,0,
161,NBI,'5.0 N JCT SR 4',2,Stringer/Multi-beam or Girder,46.49398621,-123.8879887,3.8,1,0,
162,NBI,'10.1 N JCT US 101',2,Stringer/Multi-beam or Girder,46.74718304,-123.884262,0.9,1,0,
163,NBI,'10.5 N JCT US 101',2,Stringer/Multi-beam or Girder,46.75145319,-123.8876702,0.4,1,0,
164,NBI,'7.0 E JCT US 101',2,Stringer/Multi-beam or Girder,46.61202938,-123.6402167,13.2,1,0,
165,NBI,'5.0 E JCT US 12',2,Stringer/Multi-beam or Girder,47.04881778,-123.3067542,62.5,0,0,
166,NBI,'5.0 E JCT US 12',2,Stringer/Multi-beam or Girder,47.04863261,-123.3066244,63,0,0,
167,NBI,'0.3 E JCT SR 108',2,Stringer/Multi-beam or Girder,47.0546262,-123.2806043,79.2,0,0,
168,NBI,'0.3 E JCT SR 108',2,Stringer/Multi-beam or Girder,47.05444096,-123.280542,79.2,0,0,
169,NBI,'9.1 E JCT US 101',19,Culvert (inlcudes frame culverts),46.97663838,-123.6281051,9.4,1,1,
170,NBI,'22.6 E JCT US 101',19,Culvert (inlcudes frame culverts),46.54478787,-123.3973055,217,0,1,
171,NBI,'16.2 N JCT US 101',19,Culvert (inlcudes frame culverts),46.74030906,-123.9757742,3.5,1,1,
172,NBI,'3.1 E JCT US 101',19,Culvert (inlcudes frame culverts),46.39087589,-123.8273219,6.7,1,1,
173,NBI,'NO DATA ENTERED',5,Box Beam or Girders - Multiple,47.37309729,-123.6360185,183.2,0,0,
174,NBI,'NO DATA ENTERED',4,Tee Beam,47.37631079,-123.6274684,183.1,0,0,
175,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.39657062,-123.5811278,279.4,0,0,
176,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.41162036,-123.5696185,288.8,0,0,
177,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.48962425,-123.5283145,447.7,0,0,
178,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.47233025,-123.5931203,425.2,0,0,
179,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.44805349,-123.5507042,256.6,0,0,
180,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.38451365,-123.6063952,203.3,0,0,
181,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.38930428,-123.6425204,208.1,0,0,
182,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.40142313,-123.6551447,224.2,0,0,
183,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.42440054,-123.6424717,335.1,0,0,
184,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.40438872,-123.6581069,237.9,0,0,
185,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.3561535,-123.5567127,313.4,0,0,
186,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.35433308,-123.5665136,270.1,0,0,
187,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.38435692,-123.5301016,334.5,0,0,
188,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.41147068,-123.528348,473.1,0,0,
189,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.4133216,-123.5299839,477.9,0,0,
190,NBI,'1.8 MILE NORTH OF SR 101',1,Slab,47.51247969,-124.093498,169.5,0,0,
191,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.27147617,-123.9126636,86.8,0,0,
192,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.29750974,-123.8374396,84.8,0,0,
193,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.32951417,-123.8057589,145.1,0,0,
194,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.33046481,-123.7263164,156.9,0,0,
195,NBI,'NO DATA ENTERED',11,Arch - Deck,47.37882956,-123.7944799,120.4,0,0,
196,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.45779293,-123.7290039,313.2,0,0,
197,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.47756062,-123.6990434,320.2,0,0,
198,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.4840886,-123.6826542,339.7,0,0,
199,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.48418611,-123.6358419,581.9,0,0,
200,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.48053468,-123.632914,623.3,0,0,
201,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.47800146,-123.6343442,647.6,0,0,
202,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.44905651,-123.746685,295.4,0,0,
203,NBI,'NO DATA ENTERED',10,Truss - Thru,47.42645884,-123.8957349,81.8,0,0,
204,NBI,'NO DATA ENTERED',7,Frame (Except for Culverts),47.3887956,-123.7976397,173.5,0,0,
205,NBI,'NO DATA ENTERED',19,Culvert (inlcudes frame culverts),47.35476366,-123.8621755,447.4,0,1,
206,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.37336132,-123.7889589,186.9,0,0,
207,NBI,'NO DATA ENTERED',5,Box Beam or Girders - Multiple,47.33239511,-123.8836566,159.3,0,0,
208,NBI,'OFF HWY 101 3.7 MI FSR 22',2,Stringer/Multi-beam or Girder,47.2910645,-123.8555598,101.9,0,0,
209,NBI,'NO DATA ENTERED',2,Stringer/Multi-beam or Girder,47.33194288,-123.8232205,102.4,0,0,
210,NBI,'NO DATA ENTERED',19,Culvert (inlcudes frame culverts),47.41727595,-123.5284907,515.2,0,1,
211,NBI,'0.18 NE JCT SR 6',1,Slab,46.5540959,-123.3609235,177.8,0,0,
212,NBI,'3.0 E JCT 4 & 401',4,Tee Beam,46.37297558,-123.7468678,12.3,1,0,
213,NBI,'7.7 NE JCT US 101',1,Slab,47.51443257,-123.774004,76.2,0,0,
214,NBI,'5.9 SE JCT 6 & 101',2,Stringer/Multi-beam or Girder,46.64719406,-123.6418657,12.9,1,0,
215,NBI,'6.6 E JCT SR 101',1,Slab,47.50055221,-123.7847643,70.7,0,0,
216,NBI,'1.0 S JCT SR 12',1,Slab,46.98833691,-123.4088845,8.7,1,0,
217,NBI,'0.6 S JCT SR 12',1,Slab,46.99287117,-123.4041877,10.8,1,0,
218,NBI,'0.1 W JCT SR 109',1,Slab,47.07106132,-124.1677841,3.6,1,0,
219,NBI,'8.5 E LEWIS CO',19,Culvert (inlcudes frame culverts),46.54473945,-123.5229806,62,0,1,
220,NBI,'01.3 W JCT 9641',1,Slab,46.9886742,-123.4247943,7.5,1,0,
221,NBI,'06.6 NW JCT US 101',2,Stringer/Multi-beam or Girder,47.07264795,-124.0385564,5.2,1,0,
222,NBI,'06.8 NW JCT US 101',22,Channel Beam ,47.07199634,-124.0427794,4.6,1,0,
223,NBI,'06.9 NW JCT US 101',22,Channel Beam ,47.07198501,-124.0436295,4.5,1,0,
224,NBI,'1.6 S JCT SR 12',2,Stringer/Multi-beam or Girder,46.98204748,-123.412676,5.7,1,0,
225,NBI,'10.0 W LEWIS CO',4,Tee Beam,46.56331008,-123.5480209,58.1,0,0,
