ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
317,NBI,'02.5 NE JCT 9519',1,Slab,47.0289707,-123.6345105,14.9,1,0,
318,NBI,'02.9 NE JCT 9519',1,Slab,47.0336457,-123.6392771,15.7,1,0,
319,NBI,'8.1 N JCT 4 & 101',1,Slab,46.51359301,-123.8626677,5.4,1,0,
320,NBI,'02.0 NE JCT 9519',1,Slab,47.02723591,-123.6250204,13.1,1,0,
321,NBI,'02.7 W JCT 9740',2,Stringer/Multi-beam or Girder,47.03447544,-123.3703068,30.6,0,0,
322,NBI,'2.6 S GRAY HAR CO',2,Stringer/Multi-beam or Girder,46.77535478,-123.5054566,54.1,0,0,
323,NBI,'0.79 S JCT SR 6',19,Culvert (inlcudes frame culverts),46.59023487,-123.6203098,27,1,1,
324,NBI,'9.3 SE JCT 6 & 101',2,Stringer/Multi-beam or Girder,46.58595735,-123.6232621,22.9,1,0,
325,NBI,'00.5 NE JCT 9519',1,Slab,47.01525971,-123.6453114,9.9,1,0,
326,NBI,'2.6 S JCT 96411',2,Stringer/Multi-beam or Girder,46.93916562,-123.3931887,22,1,0,
327,NBI,'03.1 N JCT SR 12',1,Slab,47.01060121,-123.6530511,9.2,1,0,
328,NBI,'11.8 N JCT 4 & 101',22,Channel Beam ,46.58696128,-123.9107431,2.9,1,0,
329,NBI,'4.4 E JCT 101  105',2,Stringer/Multi-beam or Girder,46.67764099,-123.6629352,3.3,1,0,
330,NBI,'5.7 NW JCT 4 & 101',2,Stringer/Multi-beam or Girder,46.4936449,-123.9019503,2.9,1,0,
331,NBI,'00.8 N JCT 9423',1,Slab,47.10132345,-124.0447324,10.3,1,0,
332,NBI,'3.1 E JCT 6 & 101',2,Stringer/Multi-beam or Girder,46.66472408,-123.6737465,3,1,0,
333,NBI,'4.0 E JCT 105 & 101',2,Stringer/Multi-beam or Girder,46.67730451,-123.669564,1.8,1,0,
334,NBI,'4.4 E JCT 105 101',2,Stringer/Multi-beam or Girder,46.67142804,-123.6692713,3.9,1,0,
335,NBI,'4.1 N JCT SR 12',1,Slab,47.02033996,-123.696539,16.6,1,0,
336,NBI,'09.4 NW JCT US 101',1,Slab,47.1029408,-124.0628267,9.4,1,0,
337,NBI,'00.5 N JCT 9710',22,Channel Beam ,47.0135763,-123.4654072,13.3,1,0,
338,NBI,'2.5 S GRAYS HAR CO',1,Slab,46.75796406,-124.0779985,4,1,0,
339,NBI,'0.7 N JCT CR 9710',1,Slab,47.01648263,-123.4655396,15.6,1,0,
340,NBI,'00.8 N JCT 9710',1,Slab,47.01803009,-123.4655832,16.3,1,0,
341,NBI,'01.1 N JCT 9710',1,Slab,47.01919693,-123.4563161,18.3,1,0,
342,NBI,'0.7 NE JCT CR 9740',11,Arch - Deck,47.02285732,-123.3650163,24.1,1,0,
343,NBI,'1.6 E JCT SR 8',4,Tee Beam,47.02188314,-123.3640403,23.4,1,0,
344,NBI,'1.9 E JCT SR 8',4,Tee Beam,47.02411934,-123.3590431,26.5,1,0,
345,NBI,'2.0 NE JCT SR 8',4,Tee Beam,47.02534521,-123.3563595,25.9,1,0,
346,NBI,'00.8 E JCT 9740',1,Slab,47.0102133,-123.367288,20.7,1,0,
347,NBI,'5.0 SE JCT 6 & 101',2,Stringer/Multi-beam or Girder,46.65016799,-123.6536105,3.6,1,0,
348,NBI,'0.16 N WAHKIAKUM CO',4,Tee Beam,46.38678066,-123.6962574,43.4,0,0,
349,NBI,'00.5 S JCT SR12',11,Arch - Deck,46.8366274,-123.2224123,25.2,1,0,
