ID,Latitude,Longitude,Structure Number,Location,Flagged for Inundation
300,47.04944,-123.69861,8.2255E+13,'05.2 SW JCT 9519',0
301,47.46042,-123.86111,8.2507E+13,'1.4 NE JCT US 101',1
302,47.02944,-123.345,8.2614E+13,'0.06 S JCT 9710',0
303,46.77597,-123.46778,8.2621E+13,'2.2 SW GRAYS H CO',0
304,47.20946,-124.20385,8.2636E+13,'0.3 SW JCT SR 109',1
305,46.34258,-123.81258,8.269E+13,'0.37 N JCT SR 401',1
306,47.46847,-123.84583,8.2707E+13,'2.3 NE JCT US 101',1
307,46.93925,-123.31361,8.2824E+13,'0.1 W JCT SR 12',0
308,46.85556,-123.30917,8.2845E+13,'1.3 W JCT CR 9641',0
309,47.02694,-123.44722,8.2852E+13,'1.9 N JCT CR 9710',0
310,47.03056,-123.445,8.2857E+13,'02.1 N JCT 9710',0
311,47.02583,-123.81583,8.2876E+13,'03.9 N ABERDEEN',1
312,46.42622,-123.89222,8.2962E+13,'3.3 SW JCT 4 & 101',1
313,46.94639,-123.29528,8.2974E+13,'01.1 E JCT SR12',0
314,47.11639,-123.65667,8.301E+13,'12.2 N JCT SR12',0
315,47.10944,-123.78944,8.3045E+13,'11.7 N ABERDEEN',1
316,47.02903,-123.63458,8.3123E+13,'02.5 NE JCT 9519',0
317,47.03361,-123.63917,8.313E+13,'02.9 NE JCT 9519',0
318,46.51356,-123.86267,8.318E+13,'8.1 N JCT 4 & 101',1
319,47.02722,-123.625,8.3228E+13,'02.0 NE JCT 9519',0
320,47.03472,-123.37028,8.3238E+13,'02.7 W JCT 9740',0
321,46.77544,-123.50539,8.3317E+13,'2.6 S GRAY HAR CO',0
322,46.59019,-123.62033,8.3347E+13,'0.79 S JCT SR 6',0
323,46.58592,-123.62319,8.3373E+13,'9.3 SE JCT 6 & 101',0
324,47.01528,-123.64528,8.3477E+13,'00.5 NE JCT 9519',0
325,46.93917,-123.39306,8.353E+13,'2.6 S JCT 96411',0
326,47.01056,-123.65306,8.3537E+13,'03.1 N JCT SR 12',0
327,46.58694,-123.91078,8.3593E+13,'11.8 N JCT 4 & 101',1
328,46.67767,-123.66289,8.3595E+13,'4.4 E JCT 101  105',0
329,46.49367,-123.902,8.3617E+13,'5.7 NW JCT 4 & 101',1
330,47.10135,-124.04471,8.3618E+13,'00.8 N JCT 9423',1
331,46.665,-123.67417,8.3649E+13,'3.1 E JCT 6 & 101',0
332,46.67733,-123.66956,8.3691E+13,'4.0 E JCT 105 & 101',0
333,46.67133,-123.66922,8.3696E+13,'4.4 E JCT 105 101',0
334,47.02028,-123.69667,8.3816E+13,'4.1 N JCT SR 12',0
335,47.10292,-124.06278,8.3849E+13,'09.4 NW JCT US 101',1
336,47.01361,-123.46542,8.3905E+13,'00.5 N JCT 9710',0
337,46.758,-124.07803,8.3909E+13,'2.5 S GRAYS HAR CO',1
338,47.01667,-123.46556,8.3913E+13,'0.7 N JCT CR 9710',0
339,47.01806,-123.46556,8.3917E+13,'00.8 N JCT 9710',0
340,47.01917,-123.45639,8.3923E+13,'01.1 N JCT 9710',0
341,47.02278,-123.365,8.4049E+13,'0.7 NE JCT CR 9740',0
342,47.02194,-123.36417,8.4072E+13,'1.6 E JCT SR 8',0
343,47.02444,-123.35917,8.4073E+13,'1.9 E JCT SR 8',0
344,47.02556,-123.35639,8.4076E+13,'2.0 NE JCT SR 8',0
345,47.01014,-123.36722,8.4197E+13,'00.8 E JCT 9740',0
346,46.65017,-123.65361,8.4233E+13,'5.0 SE JCT 6 & 101',0
347,46.38678,-123.69628,8.431E+13,'0.16 N WAHKIAKUM CO',0
348,46.83667,-123.2225,8.4327E+13,'00.5 S JCT SR12',0
349,47.08167,-123.70167,8.4332E+13,'0.6 W JCT 9519',0
350,46.74092,-124.07211,8.4347E+13,'3.7 S GRAY HAR CO',1
351,47.00611,-123.46917,8.4405E+13,'0.6 E SATSOP',0
352,46.66469,-123.67769,8.4476E+13,'3.2 SE JCT 101 & 6',0
353,46.99833,-123.80083,8.4495E+13,'01.4 NE JCT 9431',1
354,47.07458,-124.0524,8.4541E+13,'7.2 NW JCT US 101',1
355,47.09742,-124.05936,8.4548E+13,'9.0 NW JCT SR 101',1
356,46.99722,-123.29444,8.466E+13,'4.7 NE JCT SR 12',0
357,46.74814,-123.67092,8.4671E+13,'7.9 NE JCT 6 & 101',0
358,47.00518,-123.88213,8.4708E+13,'0.2 W JCT E HOQ RD',1
359,46.82986,-123.25864,8.488E+13,'1.7 SW JCT SR 12',0
360,47.08147,-123.75481,8.4898E+13,'04.1 W JCT 9519',0
361,47,-123.49889,8.4912E+13,'0.6 E JCT W.SATSOP',0
362,47.00126,-123.49486,8.4914E+13,'00.1 W JCT E.SATSOP',0
363,47.08556,-123.48972,8.4917E+13,'7.1 N BRADY',0
364,46.98881,-124.14628,8.5005E+13,'0.1 W DUCK LAKE DR',1
