%Lon   Lat   NEOWAVE_non_dispersive(15-arc-sec)   NEOWAVE_dispersive(15-arc-sec)    MOST(15-arc-sec)   MOST(30-arc-sec)
-124.132000 45.467000 3.669402 3.125031 3.537766 3.167418
-124.133000 45.447000 4.021640 3.357250 3.831582 3.366621
-124.133000 45.439000 4.120159 3.423866 3.927383 3.454365
-124.125000 45.427000 4.307652 3.507543 4.002423 3.570665
-124.127000 45.409000 4.461881 3.543941 4.043149 3.652987
-124.128000 45.393000 4.519837 3.568111 4.085016 3.662523
-124.125000 45.380000 4.584413 3.579713 4.101526 3.644274
-124.128000 45.367000 4.600177 3.566634 4.118834 3.582084
-124.126000 45.353000 4.550840 3.556834 4.076273 3.487525
-124.128000 45.340000 4.480788 3.529369 4.033799 3.439863
-124.130000 45.320000 4.287586 3.483376 3.934115 3.340959
-124.127000 45.301000 4.060158 3.366016 3.787603 3.228241
-124.126000 45.287000 3.941352 3.288743 3.692839 3.148114
-124.127000 45.273000 3.846862 3.216528 3.594731 3.108810
-124.129000 45.253000 3.661696 3.123851 3.467263 3.005349
-124.129000 45.233000 3.533633 3.071491 3.403504 2.958864
-124.128000 45.213000 3.472220 3.090605 3.402673 2.945570
-124.129000 45.193000 3.500808 3.216190 3.501430 3.024329
-124.133000 45.176000 3.614323 3.382502 3.686312 3.179579
-124.136000 45.160000 3.899255 3.650370 3.973212 3.382238
-124.138000 45.140000 4.323220 3.975796 4.407139 3.651996
-124.140000 45.127000 4.926616 4.304952 4.924816 3.874424
-124.139000 45.113000 5.448318 4.521636 5.266086 3.973847
-124.143000 45.100000 6.093065 4.732307 5.641653 4.132832
-124.140000 45.080000 7.055385 5.045318 6.159655 4.233883
-124.142000 45.073000 7.179427 5.091161 6.231957 4.259259
-124.147000 45.060000 7.379510 5.203050 6.426187 4.317256
-124.152000 45.040000 6.997416 5.116465 6.264670 4.261048
-124.152000 45.020000 6.249821 4.837571 5.748349 4.110518
-124.160000 45.007000 5.751581 4.629080 5.405393 4.068859
-124.167000 44.999000 5.424093 4.467481 5.164595 4.021335
-124.170000 44.980000 4.789699 4.161677 4.647228 3.883003
